iter	Passed	Remaining
968	9643	308
969	9661	298
970	9668	288
971	9677	278
972	9684	268
973	9695	258
974	9705	248
975	9712	238
976	9723	228
977	9728	218
978	9737	208
979	9746	198
980	9755	188
981	9764	178
982	9775	169
983	9781	159
984	9789	149
985	9795	139
986	9803	129
987	9810	119
988	9818	109
989	9825	99
990	9833	89
991	9842	79
992	9851	69
993	9857	59
994	9862	49
995	9869	39
996	9874	29
997	9882	19
998	9887	9
999	9892	0
